TxPackets;TxTime;TxId;xPos;yPos
19;345;15;3;8
38;365;15;3;8
57;371;7;42;76
76;385;15;3;8
95;387;11;99;17
114;391;7;42;76
133;405;15;3;8
152;407;11;99;17
171;411;7;42;76
190;424;-1;66;72
209;425;15;3;8
228;427;11;99;17
247;431;7;42;76
266;444;-1;66;72
285;445;15;3;8
304;447;11;99;17
323;451;7;42;76
342;464;-1;66;72
361;465;15;3;8
380;467;11;99;17
399;471;7;42;76
418;484;-1;66;72
437;485;15;3;8
456;487;11;99;17
475;491;7;42;76
494;504;-1;66;72
513;505;15;3;8
532;507;11;99;17
551;511;7;42;76
570;524;-1;66;72
589;525;15;3;8
608;527;11;99;17
627;531;7;42;76
646;544;-1;66;72
665;545;15;3;8
684;547;11;99;17
703;551;7;42;76
722;564;-1;66;72
741;565;15;3;8
760;567;11;99;17
779;571;7;42;76
798;584;-1;66;72
817;585;15;3;8
836;587;11;99;17
855;591;7;42;76
874;604;-1;66;72
893;605;15;3;8
912;607;11;99;17
931;611;7;42;76
950;624;-1;66;72
969;625;15;3;8
988;627;11;99;17
1007;631;7;42;76
1026;644;-1;66;72
1045;645;15;3;8
1064;647;11;99;17
1083;651;7;42;76
1102;664;-1;66;72
1121;665;15;3;8
1140;667;11;99;17
1159;671;7;42;76
1178;684;-1;66;72
1197;685;15;3;8
1216;687;11;99;17
1235;691;7;42;76
1254;695;9;4;40
1273;704;-1;66;72
1292;705;15;3;8
1311;707;11;99;17
1330;711;7;42;76
1349;715;9;4;40
1368;724;-1;66;72
1387;725;15;3;8
1406;727;11;99;17
1425;731;7;42;76
1444;735;9;4;40
1463;744;-1;66;72
1482;745;15;3;8
1501;747;11;99;17
1520;751;7;42;76
1539;755;9;4;40
1558;764;-1;66;72
1577;765;15;3;8
1596;767;11;99;17
1615;771;7;42;76
1634;775;9;4;40
1653;784;-1;66;72
1672;785;15;3;8
1691;787;11;99;17
1710;791;7;42;76
1729;795;9;4;40
1748;804;-1;66;72
1767;805;15;3;8
1786;807;11;99;17
1805;811;7;42;76
1824;815;9;4;40
1843;824;-1;66;72
1862;825;15;3;8
1881;827;11;99;17
1900;831;7;42;76
1919;835;9;4;40
1938;844;-1;66;72
1957;845;15;3;8
1976;847;11;99;17
1995;851;7;42;76
2014;855;9;4;40
2033;864;-1;66;72
2052;865;15;3;8
2071;867;11;99;17
2090;871;7;42;76
2109;874;1;71;52
2128;875;9;4;40
2147;875;10;42;16
2166;884;-1;66;72
2185;885;15;3;8
2204;887;11;99;17
2223;890;15;3;8
